rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,date,channel_type_count,countYTB,avg_monthly_earnings,avg_yearly_earnings,subscribers_s,video views_s,uploads_s,avg_monthly_earnings_s,channel_type_count_s
16,Sony SAB,83000000,101000000000.0,Shows,Sony SAB,71270,India,IN,Entertainment,4.0,5.0,7.0,1657000000.0,414300.0,6600000.0,5000000.0,79600000.0,1100000.0,2007.0,Aug,4.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2007,Aug,4",304.0,0.5,3507150.0,42300000.0,3.0382466695315866,4.4298245614035086,2.36535372442816,4.8538845331432645,10.0
17,5-Minute Crafts,80100000,26236790209.0,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901.0,4797.0,6781.0,1.0,0.0,0.0,0.0,0.05,,2020.0,Jul,27.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973,"2020,Jul,27",304.0,0.5,0.0,0.025,2.9136226901590034,1.1507364126754385,3.318863090259801e-05,0.0,10.0
18,BANGTANTV,75600000,20826993957.0,Music,BANGTANTV,2281,South Korea,KR,Music,112.0,2.0,4.0,168290000.0,42100.0,673200.0,504900.0,8100000.0,400000.0,2012.0,Dec,17.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,"2012,Dec,17",215.0,0.5,357650.0,4302450.0,2.7202406532015475,0.913464647236842,0.075703267088826,0.4949864714308451,7.05298013245033
19,Sports,75000000,0.0,,sports,3,United States,US,Entertainment,3898122.0,6266.0,5395.0,16.0,0.0,0.06,0.05,0.77,,2006.0,Jan,30.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2006,Jan,30",304.0,0.5,0.03,0.41,2.69445638160722,0.0,9.956589270779404e-05,4.151990533461584e-08,10.0
20,Justin Bieber,71600000,30608119724.0,Music,Justin Bieber,249,Canada,CA,Music,38.0,1.0,6.0,176326000.0,44100.0,705300.0,529000.0,8500000.0,100000.0,2007.0,Jan,15.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771,"2007,Jan,15",215.0,0.5,374700.0,4514500.0,2.5483455092393643,1.3424613914035086,0.0082639690947469,0.5185836176293518,7.05298013245033
21,HYBE LABELS,71300000,28634566938.0,Music,HYBE LABELS,1337,South Korea,KR,Music,46.0,3.0,5.0,598173000.0,149500.0,2400000.0,1800000.0,28700000.0,900000.0,2008.0,Jun,4.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922,"2008,Jun,4",215.0,0.5,1274750.0,15250000.0,2.5354533734422007,1.2559020586842105,0.0443731995167735,1.764249977510051,7.05298013245033
22,Zee TV,70500000,73139054467.0,Entertainment,Zee TV,129204,India,IN,Entertainment,9.0,6.0,8.0,1707000000.0,426800.0,6800000.0,5100000.0,81900000.0,900000.0,2005.0,Dec,11.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2005,Dec,11",304.0,0.5,3613400.0,43500000.0,2.5010743446497643,3.207853266096491,4.288103867139273,5.000934197870029,10.0
23,Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963.0,Education,Pinkfong Baby Shark - Kids' Songs & Stories,2865,United States,US,Education,23.0,8.0,2.0,473387000.0,118300.0,1900000.0,1400000.0,22700000.0,600000.0,2011.0,Dec,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,"2011,Dec,14",49.0,0.5,1009150.0,12050000.0,2.402234636871509,1.7036504369736842,0.0950854275359432,1.3966604156142524,1.5562913907284766
24,Canal KondZilla,66500000,36775585925.0,Music,Canal KondZilla,2572,Brazil,BR,Music,25.0,1.0,7.0,447223000.0,0.0,0.0,0.0,0.0,,2012.0,Mar,21.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,"2012,Mar,21",215.0,0.5,0.0,0.0,2.329179200687581,1.6129642949561402,0.085361158681482,0.0,7.05298013245033
25,ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229.0,Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,IN,Education,18.0,7.0,3.0,420292000.0,105100.0,1700000.0,1300000.0,20200000.0,500000.0,2013.0,Feb,9.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2013,Feb,9",49.0,0.5,902550.0,10750000.0,2.3033949290932534,2.006923255657895,0.0210084033613445,1.2491263519919171,1.5562913907284766
26,Shemaroo Filmi Gaane,65600000,28648024439.0,Music,Shemaroo Filmi Gaane,8502,India,IN,Music,47.0,8.0,8.0,254961000.0,63700.0,1000000.0,764900.0,12200000.0,400000.0,2010.0,Jun,11.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,"2010,Jun,11",215.0,0.5,531850.0,6482450.0,2.2905027932960897,1.2564922999561403,0.2821697399338883,0.7360787217405144,7.05298013245033
